name,lat,lon
South Ferry,40.702068,-74.013664
Whitehall St,40.703087,-74.012994
Rector St,40.707513,-74.013783
Park Place,40.713051,-74.008811
Chambers St,40.715478,-74.009266
Franklin St,40.719318,-74.006886
Canal St,40.722854,-74.006277
Houston St,40.728251,-74.005367
Christopher St,40.733422,-74.002906
14th St,40.737826,-74.000201
6th Av,40.737335,-73.996786
14th St,40.738228,-73.996209
18th St,40.74104,-73.997871
23rd St,40.744081,-73.995657
28th St,40.747215,-73.993365
34th St,40.750373,-73.991057
Times Square,40.75529,-73.987495
Times Square-42nd St,40.754672,-73.986754
Times Square,40.755983,-73.986229
42nd St,40.757308,-73.989735
50th St,40.761728,-73.983849
59th St-Columbus Circle,40.768247,-73.981929
59th St,40.768296,-73.981736
66th St-Lincoln Center,40.77344,-73.982209
72nd St,40.778453,-73.98197
79th St,40.783934,-73.979917
86th St,40.788644,-73.976218
96th St,40.793919,-73.972323
103rd St,40.799446,-73.968379
Cathedral Parkway-110th St,40.803967,-73.966847
116th St-Columbia University,40.807722,-73.96411
125th St,40.815581,-73.958372
137th St-City College,40.822008,-73.953676
145th St,40.826551,-73.95036
157th St,40.834041,-73.94489
168th St,40.840556,-73.940133
181st St,40.849505,-73.933596
191st St,40.855225,-73.929412
Dyckman St,40.860531,-73.925536
207th St,40.864614,-73.918819
215th St,40.869444,-73.915279
Marble Hill-225th St,40.874561,-73.909831
231st St,40.878856,-73.904834
238th St,40.884667,-73.90087
Van Cortlandt Park-242nd St,40.889248,-73.898583
